Post Type,Total Reach,Organic Reach,Total Impressions,Engaged Users,Interactions,Reactions,Comments,Shares,Link Clicks,Other Clicks,Photo Views,Video Plays,Negative Feedback,Video Length,Organic Views,Paid Views,Organic 10-Sec Views,Paid 10-Sec Views,Organic Views to 95%,Paid Views to 95%,Reach (Fans),Paid Reach (Fans),Engaged Users (Fans),Reach (Non-Fans),Engaged Users (Non-Fans),Channel,Organic / Paid
Video,18473494,16459225,34949223,1422518,330750,218382,65275,47093,1371,1415641,14688,548967,517,50473,3528998,1324819,2044329,656161,571247,109201,4925697,712408,669325,13547797,753193,Facebook,Paid
Video,2625369,2663056,4255264,213240,15963,13676,1571,716,234,167572,1107,149493,253,11283,507746,23,346599,17,311141,15,2464082,0,196270,161287,16970,Facebook,Organic
Video,130842,131234,225729,18264,1878,1567,241,70,234,5157,164,14599,4,19155,53440,3,32846,2,13827,2,114610,0,13777,16232,4487,Facebook,Organic
Video,2640529,2619744,4043332,200131,14908,12844,1616,448,191,165364,1056,131270,240,20350,444731,1,360874,1,232965,1,2434304,0,186630,206225,13501,Facebook,Organic
Video,2050282,2040975,3291789,160465,7383,6639,514,230,245,131586,723,114325,225,11710,387745,4,262144,3,241146,3,1950281,0,152354,100001,8111,Facebook,Organic
Video,2282652,2298147,3762498,190046,9374,8497,644,233,294,159880,1047,136837,270,12563,464437,5,248429,2,189569,2,2203296,0,180898,79356,9148,Facebook,Organic
Video,1651279,1655731,2736392,68604,5287,4376,640,271,7,50561,732,38801,30,114110,213785,13,144402,12,45423,1,957957,0,51366,693322,17238,Facebook,Organic
Video,2296278,2294888,3721781,233122,9565,8636,670,259,403,195988,1096,158097,214,12243,481543,0,377240,0,302425,0,2201354,0,226460,94924,6662,Facebook,Organic
Video,2301472,2288176,3543435,195084,10200,8900,948,352,330,152858,1012,143877,220,10515,433577,0,292687,0,289959,0,2235242,0,188515,66230,6569,Facebook,Organic
Video,783597,785585,1417526,88936,6285,5708,430,147,72,63125,471,58722,86,11923,189880,0,114022,0,93936,0,752577,0,83492,31020,5444,Facebook,Organic
Link,1472562,1467686,2462383,11885,1778,1588,176,14,6742,5736,NA,4,120,0,51,0,38,0,26,0,1452018,0,11756,20544,129,Facebook,Organic
Video,2281724,2320422,3535695,197776,9727,8258,1174,295,375,165823,999,129543,221,14526,452305,0,380219,0,211847,0,2140096,0,184333,141628,13443,Facebook,Organic
Link,2474332,2484604,3948336,101998,5384,4813,507,64,80161,33355,NA,2,225,0,237,0,202,0,113,0,2401810,0,101518,72522,480,Facebook,Organic
Video,1772002,1774982,2934465,170807,12348,10538,1410,400,274,135600,982,113659,202,17022,377706,2,328082,0,167602,0,1663642,0,159261,108360,11546,Facebook,Organic
Video,2468677,2457960,3884446,222536,12907,11104,1385,418,480,175468,1182,150774,266,10494,479586,1,303520,1,300814,1,2277062,0,209416,191615,13120,Facebook,Organic
