Post Type,Total Reach,Organic Reach,Total Impressions,Engaged Users,Interactions,Reactions,Comments,Shares,Link Clicks,Other Clicks,Photo Views,Video Plays,Negative Feedback,Video Length,Organic Views,Paid Views,Organic 10-Sec Views,Paid 10-Sec Views,Organic Views to 95%,Paid Views to 95%,Reach (Fans),Paid Reach (Fans),Engaged Users (Fans),Reach (Non-Fans),Engaged Users (Non-Fans),Channel,Organic / Paid
Video,2667152,2730046,3521338,116607,10430,8626,1264,540,80,113488,71,48961,174,103763,611367,0,467649,0,41700,0,2604685,0,105817,62467,10790,Facebook,Organic
Photo,1793159,1810315,2491524,131569,4999,4389,554,56,NA,49430,118150,1,215,0,0,0,0,0,0,0,1776075,0,129185,17084,2384,Facebook,Organic
Video,2487603,2563641,3192138,125993,11263,9231,1494,538,77,116851,25,56721,145,95486,702163,0,453474,0,42623,0,2399541,0,111299,88062,14694,Facebook,Organic
Video,3202139,3325395,4040924,135162,12718,10159,1884,675,114,121701,29,59716,213,87806,740302,0,469904,0,41853,0,3046276,0,116923,155863,18239,Facebook,Organic
Video,1249887,1286023,1577856,80687,6523,5678,611,234,NA,84951,11,24606,94,35305,426070,0,217305,0,36068,0,1208534,0,77579,41353,3108,Facebook,Organic
Video,2904323,3019099,3776338,127526,12930,10732,1548,650,38,111918,28,50798,212,95081,730216,0,453444,0,53560,0,2755323,0,114202,149e3,13324,Facebook,Organic
Video,3742725,3922338,5024778,209731,20434,16970,2514,950,9,180693,22,94688,243,97086,986109,0,714530,0,63655,0,3488448,0,175133,254277,34598,Facebook,Organic
Video,3776575,3934510,5052713,193111,21134,17624,2489,1021,216,185185,10,86514,221,101033,1051558,0,699814,0,72251,0,3610212,0,168340,166363,24771,Facebook,Organic
Video,4405440,6787811,5557213,217589,20945,17288,3014,643,11279,230996,1946,68429,158,75134,768956,0,533236,0,75395,0,2475527,0,151687,1929913,65902,Facebook,Organic
Video,2613345,2703942,3373368,139145,14243,12220,1356,667,78,130236,3,58386,175,105534,701878,0,460270,0,51157,0,2485369,0,122871,127976,16274,Facebook,Organic
Video,2819700,2881525,4583196,129174,15134,12418,2061,655,109,124008,4,55836,203,106323,647337,0,421067,0,44894,0,2680305,0,113426,139395,15748,Facebook,Organic
Video,4929819,5884054,8117824,254563,30787,25875,3502,1410,140,229916,23,101999,252,122281,1166757,0,791298,0,116082,0,4012208,0,199267,917611,55296,Facebook,Organic
Photo,868457,870169,1327181,17357,2413,2084,308,21,1138,12626,7141,NA,103,0,0,0,0,0,0,0,865064,0,16751,3393,606,Facebook,Organic
Video,2544136,2487079,3902345,74018,3848,3424,320,104,19,74993,11,17219,158,125459,576870,0,350838,0,22196,0,2036644,0,62102,507492,11916,Facebook,Organic
SharedVideo,5367524,5305986,8943682,159860,5944,5513,431,NA,43,193312,11,24,383,10301167,791414,0,0,0,0,0,5330561,0,157841,36963,2019,Facebook,Organic
SharedVideo,6503468,6558389,10765344,285099,9038,8367,671,NA,46,338797,7,36,396,13369900,1046895,0,0,0,0,0,6444460,0,281817,59008,3282,Facebook,Organic
SharedVideo,4578431,4645951,7227378,114157,4651,4418,233,NA,44,139287,5,16,300,14363867,591356,0,0,0,0,0,4548168,0,112958,30263,1199,Facebook,Organic
SharedVideo,4849722,4874560,7782185,125985,4903,4656,247,NA,32,146108,7,38,323,10687834,720019,0,0,0,0,0,4830335,0,123527,19387,2458,Facebook,Organic
SharedVideo,4861579,4825471,7670201,133754,4633,4464,169,NA,47,155023,5,28,296,13849867,743484,0,0,0,0,0,4839259,0,131672,22320,2082,Facebook,Organic
SharedVideo,4651739,4648257,7299571,120638,4984,4738,246,NA,41,140865,3,32,306,14211e3,640080,0,0,0,0,0,4626759,0,118791,24980,1847,Facebook,Organic
SharedVideo,5559462,5496806,9005670,180343,6582,6112,470,NA,44,216495,12,40,364,10185867,798228,0,0,0,0,0,5523049,0,178385,36413,1958,Facebook,Organic
SharedVideo,5197484,5193695,8444991,145989,6230,5825,405,NA,73,177954,3,27,322,14406867,792767,0,0,0,0,0,5166621,0,144225,30863,1764,Facebook,Organic
Video,923336,923015,1358617,20238,1759,1486,229,44,2,17156,16,8106,88,91689,192250,0,47225,0,5176,0,884624,0,18721,38712,1517,Facebook,Organic
Photo,770376,775709,1167099,7417,1908,1664,203,41,469,4530,2698,NA,83,0,0,0,0,0,0,0,763137,0,6588,7239,829,Facebook,Organic
Video,4361589,4367561,7397435,248022,35018,27303,6281,1434,189,239795,6,99760,272,95742,1058368,0,688870,0,83377,0,3924603,0,212762,436986,35260,Facebook,Organic
Video,4668960,4620092,7630060,423800,45568,34910,7213,3445,62,427233,16,144016,331,123987,1326085,0,831834,0,180656,0,4012086,0,360284,656874,63516,Facebook,Organic
Video,5366474,5414692,8963189,275741,31095,25648,3952,1495,220,258460,7,107626,313,122643,1271056,0,872290,0,107208,0,4519761,0,232844,846713,42897,Facebook,Organic
Video,635063,635697,983464,12553,1951,1824,86,41,419,9714,2,4815,57,21332,96093,0,35125,0,16626,0,624705,0,11238,10358,1315,Facebook,Organic
Photo,1564231,1569394,2356201,55057,8684,6863,1693,128,26010,33027,14719,NA,157,0,0,0,0,0,0,0,1547521,0,51356,16710,3701,Facebook,Organic
Video,4840796,4832068,8192571,234463,33690,27442,4866,1382,251,227354,12,87241,319,88809,1296597,0,909513,0,394840,0,4330510,0,207517,510286,26946,Facebook,Organic
Video,5148257,5100482,8637728,235146,41420,34801,4785,1834,194,226745,9,70521,277,97555,1358482,0,892571,0,279575,0,4585808,0,207551,562449,27595,Facebook,Organic
Video,3051221,3046955,4921750,139307,29516,23202,5519,795,3694,133899,20,41253,157,36030,558767,0,326368,0,37850,0,2864520,0,128813,186701,10494,Facebook,Organic
Video,5681311,5680316,9730881,306897,39831,32841,5194,1796,232,279055,7,109097,369,120937,1486571,0,1125435,0,444875,0,4949708,0,255362,731603,51535,Facebook,Organic
Video,3115224,3134296,5529959,155613,16943,13517,2775,651,99,157331,8,41110,191,126462,637794,0,280569,0,61669,0,2877114,0,141846,238110,13767,Facebook,Organic
Video,7383958,7485032,12914296,393069,60995,48133,9378,3484,32,365155,9,142365,370,105854,1969863,0,1571307,0,585049,0,5470651,0,293731,1913307,99338,Facebook,Organic
Video,10377865,10646590,18978880,734705,126297,80936,33165,12196,283,790482,13,234577,494,207571,2294953,0,1458055,0,612554,0,6028988,0,456817,4348877,277888,Facebook,Organic
Video,6158893,6392730,10990190,315264,41746,31489,8e3,2257,287,294208,12,98351,347,116542,1475510,0,1135282,0,399868,0,5019984,0,248795,1138909,66469,Facebook,Organic
Video,4938423,4942127,8463139,229732,35935,28560,5783,1592,12,225827,8,65724,335,112361,1172787,0,876450,0,350192,0,4580670,0,207827,357753,21905,Facebook,Organic
Video,5314343,3946022,8913348,223394,31445,28118,1924,1403,72,209189,54,64933,214,66878,1289908,808075,666521,336085,242497,87170,3660542,197789,193133,1653801,30261,Facebook,Paid
Video,1361462,1349317,2022921,44236,6875,6206,541,128,284,37761,4,17450,107,60323,243073,0,106811,0,25320,0,1292741,0,42725,68721,1511,Facebook,Organic
Video,5009300,5029533,8516700,240979,28054,23504,3319,1231,188,242486,4,75780,256,107091,1357656,0,883636,0,355970,0,4453039,0,219872,556261,21107,Facebook,Organic
Photo,731296,729602,1108636,15531,3603,3120,443,40,506,10688,7316,NA,92,0,0,0,0,0,0,0,720061,0,14547,11235,984,Facebook,Organic
Video,6541679,6559854,12276160,377257,68582,50246,14129,4207,429,372570,26,104576,402,110974,1851390,0,1185473,0,545206,0,5471872,0,298348,1069807,78909,Facebook,Organic
Video,4994928,4960345,8727468,246580,32652,26321,4619,1712,208,235118,25,69842,301,90025,1337230,0,869376,0,337054,0,4595746,0,227043,399182,19537,Facebook,Organic
Video,1415751,1415451,2386881,46084,7268,5526,1489,253,801,44396,1,16865,78,25278,268122,0,99344,0,42473,0,1387004,0,43403,28747,2681,Facebook,Organic
Video,5538179,5575717,9345262,232620,33227,28042,3339,1846,224,237921,27,71555,266,83283,1418995,0,1033881,0,389739,0,4822041,0,202278,716138,30342,Facebook,Organic
Video,3535996,3542001,5839547,226598,30336,21853,7054,1429,11,254979,18,65893,131,51347,669882,0,400665,0,50234,0,3148290,0,209042,387706,17556,Facebook,Organic
Video,3248320,3224981,5171725,173129,15771,14797,423,551,1322,162488,3,60879,122,60179,1407680,0,726072,0,214858,0,3144284,0,168744,104036,4385,Facebook,Organic
Video,1802668,1816981,2916869,129973,11650,10034,1430,186,520,117904,10,76613,107,15273,644633,0,410887,0,174630,0,1773055,0,124408,29613,5565,Facebook,Organic
Video,7367589,7621259,13262807,475289,65332,54161,6842,4329,455,436801,17,149766,425,111635,2262552,0,1574302,0,733815,0,5964826,0,369473,1402763,105816,Facebook,Organic
Video,2643137,2621181,3995940,162825,17549,16093,1133,323,6,145755,203,92701,101,15273,818877,0,466398,0,213436,0,1499219,0,94761,1143918,68064,Facebook,Organic
Video,2906188,2986696,4715736,156725,26490,23661,1342,1487,92,146843,10,50487,136,85587,823857,0,491002,0,70571,0,2804714,0,148133,101474,8592,Facebook,Organic
Video,7875626,8153702,14191683,567966,105415,77473,20759,7183,627,549788,31,162864,426,93587,2444331,0,1495105,0,714855,0,6253494,0,469060,1622132,98906,Facebook,Organic
Video,10536297,11174315,18647552,703277,227082,167686,31032,28364,956,671702,159,201639,636,137577,2714440,0,1525099,0,262359,0,6071049,0,460610,4465248,242667,Facebook,Organic
Link,1454087,1455425,2133336,59094,13228,10667,2262,299,23077,40305,1,NA,157,0,0,0,2,0,1,0,1402571,0,56881,51516,2213,Facebook,Organic
Video,3218645,3245727,5551470,250406,13356,12360,616,380,33,256672,7,55061,218,59177,1240196,0,572781,0,208851,0,3106116,0,237412,112529,12994,Facebook,Organic
Link,1961948,1995964,3120082,137952,20480,16389,3338,753,106179,51167,12,NA,183,0,0,0,0,0,0,0,1697392,0,123572,264556,14380,Facebook,Organic
Link,2033303,2006567,3043026,114809,28728,22123,5522,1083,44440,82865,14,NA,193,0,0,0,0,0,0,0,1863423,0,109631,169880,5178,Facebook,Organic
Link,3541756,3558055,5360612,390986,30807,26669,4127,777,385373,156077,33,NA,287,0,0,0,0,0,0,0,3353885,0,381350,187871,9636,Facebook,Organic
Link,3939195,3931437,6097245,456352,19429,15997,3061,371,426506,200632,16,NA,235,0,0,0,0,0,0,0,3808964,0,446695,130231,9657,Facebook,Organic
Link,3858135,3891926,6141826,431047,18839,16087,2417,335,385974,191380,32,NA,260,0,0,0,1,0,0,0,3741118,0,422061,117017,8986,Facebook,Organic
Link,3610852,3632715,5669515,397854,18112,15029,2804,279,352486,168585,11,NA,238,0,0,0,0,0,0,0,3485912,0,388763,124940,9091,Facebook,Organic
Link,3693467,3737608,5627231,351301,18742,15926,2490,326,325027,181636,15,NA,182,0,0,0,0,0,0,0,3603813,0,346243,89654,5058,Facebook,Organic
Link,3358756,3414304,5119982,303262,13098,11301,1502,295,297787,183992,292,2,221,0,0,0,73,0,15,0,3276347,0,300292,82409,2970,Facebook,Organic
Video,13759865,14533804,26374832,1121443,140983,104543,22943,13497,22015,1335777,414,352199,917,141310,2983006,0,1880303,0,392534,0,6346247,0,717718,7413618,403725,Facebook,Organic
Photo,1537077,1544317,2268333,58880,18960,17948,663,349,2951,24144,32403,NA,165,0,0,0,0,0,0,0,1517874,0,55484,19203,3396,Facebook,Organic
Video,9426371,9718132,16065465,715605,158987,114247,28072,16668,1127,731322,194,203402,713,93097,2337061,0,1300620,0,205810,0,5930469,0,529082,3495902,186523,Facebook,Organic
Link,4210678,4224782,6540371,254262,62430,49964,9908,2558,161575,105598,35,NA,403,0,36,0,22,0,6,0,3754157,0,237949,456521,16313,Facebook,Organic
Link,4213543,4236335,6549633,254722,63019,50467,9971,2581,161594,105639,35,NA,404,0,0,0,22,0,6,0,3754157,0,238132,459386,16590,Facebook,Organic
Video,3855421,3785316,5955788,343198,46649,37749,5841,3059,277,324226,630,147352,344,48318,974360,0,616190,0,84916,0,3116122,0,292662,739299,50536,Facebook,Organic
Video,11169121,11679650,19445358,781061,203639,152629,28621,22389,2356,764454,2986,246049,870,86441,2303853,0,1320456,0,277755,0,5697155,0,531491,5471966,249570,Facebook,Organic
Photo,1825725,1835069,2814309,76311,38858,35608,2124,1126,11755,33867,21598,NA,240,0,0,0,0,0,0,0,1713192,0,72943,112533,3368,Facebook,Organic
Video,3435056,3510318,5558326,272410,42778,34294,5549,2935,183,256513,732,108942,245,34025,839043,0,474390,0,93858,0,3138958,0,249356,296098,23054,Facebook,Organic
Video,2594361,2582935,4002842,186171,19826,16640,2224,962,308,184010,381,69850,217,30334,659473,0,372952,0,59766,0,2408877,0,179567,185484,6604,Facebook,Organic
Video,5200996,5376882,8226346,325409,43614,34098,6574,2942,474,322551,1203,133234,308,31315,912183,0,575021,0,124686,0,3107555,0,245132,2093441,80277,Facebook,Organic
Video,5266702,5210864,8234541,416989,80490,53034,20371,7085,952,413001,1976,144434,345,52286,971277,0,657095,0,135352,0,4038872,0,344795,1227830,72194,Facebook,Organic
Video,3052825,3032139,4506119,387516,74950,61020,9483,4447,1637,350953,1273,173695,358,7756,1200008,0,740799,0,727341,0,2296827,0,321893,755998,65623,Facebook,Organic
Video,10323441,10573733,16076536,679786,217966,146640,49967,21359,3734,723607,3642,169e3,847,59902,2210609,0,1508333,0,971551,0,4851533,0,473034,5471908,206752,Facebook,Organic
Video,3998918,3993774,6533268,295935,35265,25987,6948,2330,635,279631,963,111790,238,71827,765750,27,530395,27,73049,4,3549594,0,268045,449324,27890,Facebook,Organic
Video,4937183,5088617,8286774,236590,22964,20975,1050,939,190,240268,218,102629,430,40681,815705,0,452115,0,261902,0,4125033,0,205581,812150,31009,Facebook,Organic
Video,4480929,4545557,7470756,412459,50504,36908,10351,3245,411,402660,1460,196105,334,48595,1032988,0,671418,0,103058,0,3832904,0,366235,648025,46224,Facebook,Organic
Video,6311444,6295490,10361722,527379,95421,62017,26782,6622,541,520527,2729,238659,531,46697,1409139,0,1012955,0,177056,0,4567871,0,436980,1743573,90399,Facebook,Organic
Video,11472246,11736580,18837987,642453,49736,45418,1608,2710,193,711374,481,353511,1068,36137,1930614,0,1048943,0,596798,0,5303828,0,393850,6168418,248603,Facebook,Organic
Link,2078665,2067398,3042021,72606,14309,12723,1297,289,44127,30250,NA,NA,167,0,1,0,1,0,0,0,1975259,0,70164,103406,2442,Facebook,Organic
Link,1240038,1243150,1878278,28889,8659,7430,981,248,7654,20103,1,NA,137,0,0,0,0,0,0,0,1181399,0,27614,58639,1275,Facebook,Organic
Link,1662010,1666066,2414646,48808,13775,12699,756,320,26658,19736,2,NA,142,0,0,0,0,0,0,0,1593311,0,47315,68699,1493,Facebook,Organic
Link,2215477,2198014,3345368,102938,12387,8924,3256,207,84884,47176,4,NA,171,0,2,0,1,0,0,0,2052463,0,99917,163014,3021,Facebook,Organic
Link,2126572,2104086,3209520,86202,21398,19779,1078,554,47089,37680,5,NA,180,0,6,0,4,0,2,0,1975838,0,83575,150734,2627,Facebook,Organic
Link,2177137,2179035,3326074,93969,18418,16903,1002,513,66728,28130,NA,NA,159,0,209,0,140,0,34,0,1994474,0,92165,182663,1804,Facebook,Organic
Video,8207835,8393693,14301013,653192,153127,108566,28834,15727,2363,613174,2917,213251,478,58515,1996274,0,1163130,0,285732,0,4826152,0,461714,3381683,191478,Facebook,Organic
Video,4038177,4054219,6726058,376659,45059,34131,7808,3120,1468,365413,1149,123875,251,85971,961035,0,500472,0,93933,0,3279432,0,332969,758745,43690,Facebook,Organic
Video,8609916,8808818,15171078,644362,172797,132824,19438,20535,4119,611819,2946,212637,567,61118,1796875,0,1176032,0,248530,0,4724488,0,451644,3885428,192718,Facebook,Organic
Video,21178447,22764561,49025360,2028572,345804,244158,68089,33557,244,1831891,6059,1002133,1521,77886,8348826,0,6141577,0,2850855,0,7970684,0,1006038,13207763,1022534,Facebook,Organic
Photo,1293253,1291257,1988644,58563,30983,29317,943,723,6315,25046,15691,1,131,0,0,0,0,0,0,0,1211249,0,54348,82004,4215,Facebook,Organic
Video,1808175,1806592,2746477,78620,6675,6104,346,225,22,59705,254,41400,119,34451,398325,0,150868,0,40952,0,1725621,0,74121,82554,4499,Facebook,Organic
Video,16581384,16665488,28156054,1496255,460559,306738,94530,59291,8259,1479087,9698,505268,1527,48126,4041513,6,2323978,4,763786,1,6214618,0,847817,10366766,648438,Facebook,Organic
Photo,5470062,5500579,8642475,421527,136108,109880,19064,7164,124301,265477,107092,NA,705,0,0,0,0,0,0,0,3996871,0,354060,1473191,67467,Facebook,Organic
Video,5203294,5256957,8994745,275896,26600,22880,2939,781,26,273605,564,54199,276,109374,1590790,0,1026545,0,136837,0,4344105,0,244859,859189,31037,Facebook,Organic
Video,2579755,2616262,4019359,89996,6339,6101,114,124,2665,62237,291,53358,159,43411,971594,0,458672,0,165520,0,2396124,0,76294,183631,13702,Facebook,Organic
Video,1855526,1828498,2883976,118241,10670,9949,552,169,8,96844,253,67059,111,20286,738375,0,348520,0,46116,0,1775725,0,111057,79801,7184,Facebook,Organic
Video,1565867,1568270,2511768,87208,13620,12972,418,230,NA,72804,242,40553,130,20286,553703,0,281707,0,35968,0,1397874,0,74539,167993,12669,Facebook,Organic
Video,8734347,8996777,15488067,471814,21317,20448,450,419,14,468723,967,171533,425,50292,2601979,0,1607693,0,941857,0,4216870,0,252447,4517477,219367,Facebook,Organic
Video,1978939,1995581,3357971,179551,11665,10862,638,165,2,158734,412,115143,150,15358,796974,0,456757,0,241521,0,1922630,0,173025,56309,6526,Facebook,Organic
Video,1228215,1231606,1948123,90982,8734,7635,921,178,37,71164,179,58736,123,7267,397901,0,235370,0,238238,0,1192947,0,85634,35268,5348,Facebook,Organic
Video,1518853,1522862,2402279,111031,10322,9071,999,252,3,91202,217,78634,140,9217,495869,0,392884,0,404833,0,1452789,0,104867,66064,6164,Facebook,Organic
Video,2752133,2750053,4368425,119349,9836,8254,1298,284,1126,122605,236,26788,145,59326,738890,0,368567,0,40651,0,2601439,0,112611,150694,6738,Facebook,Organic
Video,101160,101712,137754,10597,1107,1013,58,36,1,3682,67,7721,13,17299,50906,0,20877,0,8171,0,94073,0,8284,7087,2313,Facebook,Organic
Video,1434885,1444055,2189013,125870,10404,9725,446,233,1,106393,394,75384,89,17299,546502,0,300976,0,104634,0,1360835,0,116354,74050,9516,Facebook,Organic
Video,2867811,2917749,4497520,148900,12586,10402,1612,572,19,150479,467,33036,231,76819,806780,0,535264,0,151154,0,2406094,0,130927,461717,17973,Facebook,Organic
Video,1324242,1337946,2012565,67444,21134,19614,456,1064,10,45188,212,31818,200,12444,286986,0,76377,0,45855,0,1200228,0,60143,124014,7301,Facebook,Organic
Link,1068021,1091646,1603272,19657,1584,1426,134,24,11796,13468,18,2,115,0,277,0,127,0,14,0,1049608,0,18786,18413,871,Facebook,Organic
Video,3020308,3029849,4177983,132793,25031,23829,541,661,216,133462,1883,43960,343,6016811,624337,0,284786,0,1330,0,2261673,0,114298,758635,18495,Facebook,Organic
Video,3627768,3660420,4966869,190903,33195,30149,2013,1033,108,180648,2443,52837,676,7361717,935053,0,438468,0,1215,0,2829459,0,160375,798309,30528,Facebook,Organic
Video,3494281,3489990,4650839,147195,30017,27225,1623,1169,6,154293,2789,43972,575,7092843,766705,0,353702,0,216,0,2687840,0,126476,806441,20719,Facebook,Organic
Video,3085209,3051471,4191370,148803,26900,24651,1366,883,79,146207,1840,42360,414,4347884,718891,0,331422,0,119,0,2309837,0,119795,775372,29008,Facebook,Organic
Video,2655420,2662532,3545023,88708,19246,17477,1118,651,47,85408,1991,31672,236,5242317,507693,0,206740,0,614,0,1881151,0,78121,774269,10587,Facebook,Organic
Video,2730634,2779279,3856581,123136,22703,20363,1508,832,90,131067,2611,33219,294,5806806,598034,0,267268,0,433,0,2098118,0,97797,632516,25339,Facebook,Organic
Link,496850,497473,716323,3145,626,573,43,10,1393,1722,NA,NA,78,0,148,0,120,0,52,0,493937,0,3006,2913,139,Facebook,Organic
Video,1640159,1638062,2609247,105623,8343,7682,553,108,12,95910,268,49076,144,15393,544053,0,444363,0,179703,0,1578053,0,102207,62106,3416,Facebook,Organic
Video,1344938,1348520,2067296,26491,4126,3521,419,186,11763,10109,39,9311,116,44862,182810,0,76546,0,33972,0,1310014,0,24258,34924,2233,Facebook,Organic
Video,302257,302473,477856,2823,537,491,37,9,141,1569,6,988,54,1801214,41320,0,11849,0,72,0,300997,0,2627,1260,196,Facebook,Organic
Video,2504660,2519777,3975680,108846,8330,7082,1121,127,4,101799,266,40480,170,30393,502192,0,307119,0,45620,0,2427542,0,103265,77118,5581,Facebook,Organic
Video,1338921,1330389,2123544,77006,21981,21045,316,620,26,53643,264,34019,160,12978,380038,0,104117,0,50193,0,1250856,0,72820,88065,4186,Facebook,Organic
Video,1385976,1392840,2117772,53340,4085,3535,375,175,12,55308,156,18345,114,84658,248597,0,101376,0,38797,0,1371663,0,51650,14313,1690,Facebook,Organic
Video,1281348,1286596,2083170,75404,11808,11066,609,133,20964,42779,184,28183,90,59301,346953,1,127840,1,15969,1,1173593,0,57903,107755,17501,Facebook,Organic
Link,1255997,1259633,1809604,17733,1907,1675,191,41,8337,12760,NA,NA,123,0,659,0,389,0,22,0,1245529,0,17296,10468,437,Facebook,Organic
Video,2798436,2802637,3772968,124849,24591,22676,1291,624,35,111095,1481,35925,456,5082100,598813,0,296675,0,497,0,2165237,0,110211,633199,14638,Facebook,Organic
Video,2674684,2665225,3497653,97780,21909,20258,1118,533,35,92966,1519,30218,291,4887100,476368,0,223855,0,269,0,1901482,0,86544,773202,11236,Facebook,Organic
Video,2244723,2261033,3132733,83549,17622,16293,969,360,28,80884,1454,24698,268,4807017,435295,0,201565,0,149,0,1765060,0,77068,479663,6481,Facebook,Organic
Video,2558290,2565953,3423452,85633,18127,16568,1071,488,31,89883,2413,26723,255,6095450,442365,0,208366,0,79,0,1858034,0,77919,700256,7714,Facebook,Organic
Video,2968566,2976966,4139983,96070,25104,23086,1379,639,44,100883,1214,28986,337,6165150,498412,0,218914,0,319,0,1896027,0,73663,1072539,22407,Facebook,Organic
Video,2697597,2718307,4359145,215562,42355,36953,3990,1412,170,198122,615,84248,178,15393,908811,0,511933,0,288695,0,2240808,0,188363,456789,27199,Facebook,Organic
Link,2029698,2040408,3139817,88386,8094,6906,1093,95,56852,45003,NA,NA,165,0,6,0,1,0,0,0,1965635,0,86535,64063,1851,Facebook,Organic
Video,860866,861515,1386030,16385,828,767,39,22,922,15208,54,4599,75,270377,165573,0,57494,0,4565,0,856372,0,16122,4494,263,Facebook,Organic
Video,1133428,1139358,1719357,80838,7041,6318,545,178,30,70583,230,55878,101,8660,393228,0,210585,0,209507,0,1113356,0,77932,20072,2906,Facebook,Organic
Video,1433852,1446595,2189166,103551,9291,8148,840,303,11,91722,230,65560,123,8962,443805,0,273062,0,272811,0,1399266,0,100852,34586,2699,Facebook,Organic
Video,295315,294227,452550,3309,617,565,43,9,152,2236,2,1071,53,1011134,43665,0,14134,0,241,0,291441,0,3122,3874,187,Facebook,Organic
Video,2718553,2771688,4518436,259071,47704,31876,13799,2029,45,245225,1508,123091,247,9078,937094,0,575504,0,577537,0,2227191,0,215883,491362,43188,Facebook,Organic
Video,1621693,1617e3,2553879,122562,14486,12598,1748,140,NA,110263,305,61596,95,15358,613458,0,410330,0,166787,0,1522329,0,115923,99364,6639,Facebook,Organic
Video,371552,371900,568652,6303,835,787,41,7,146,4554,45,1712,46,20542,62827,0,17540,0,5932,0,363721,0,5927,7831,376,Facebook,Organic
Video,511629,511903,774262,13528,1422,1288,111,23,6411,6111,18,5137,54,8213,92088,0,38222,0,38183,0,505376,0,12938,6253,590,Facebook,Organic
Video,2422897,2421241,3445830,100612,10959,10467,229,263,284,97617,427,40307,217,1373320,525460,0,258097,0,1236,0,2110098,0,94157,312799,6455,Facebook,Organic
Video,5519924,5684769,8261946,177236,41618,39101,1772,745,152,181003,1813,50214,562,13836843,998240,0,400627,0,219,0,4078674,0,156617,1441250,20619,Facebook,Organic
Video,4187360,4242961,6009800,131108,23419,21575,1286,558,82,120188,1191,36938,383,5466475,729600,0,309782,0,134,0,3196039,0,117174,991321,13934,Facebook,Organic
Video,4508478,4584158,8300111,148402,27321,24876,1664,781,217,156178,1669,44174,480,6731478,884057,0,331987,0,113,0,3894041,0,130720,614437,17682,Facebook,Organic
Video,605830,609315,956328,20269,1776,1595,162,19,10848,9002,37,7643,65,8213,98839,0,47905,0,47900,0,598222,0,19463,7608,806,Facebook,Organic
Video,5617946,5575775,8477014,180007,39169,37648,743,778,123,179258,3732,57352,595,12998934,980786,0,416517,0,249,0,3877761,0,162864,1740185,17143,Facebook,Organic
Video,3711251,3648404,4864066,139717,27868,25905,1017,946,25,139172,1279,41464,525,3993323,777337,0,329828,0,4,0,2588984,0,107215,1122267,32502,Facebook,Organic
Video,4120547,4125377,6653499,152948,40092,36938,2172,982,38,166316,2054,43547,469,10204834,815411,0,334649,0,178,0,3642502,0,138013,478045,14935,Facebook,Organic
Photo,540854,541337,813256,6925,1e3,805,181,14,239,2190,5553,NA,77,0,0,0,0,0,0,0,538784,0,5689,2070,1236,Facebook,Organic
Video,2780721,2817511,4726221,91678,8779,6571,1765,443,2665,87361,227,26637,160,31230,591703,0,301675,0,115176,0,2666460,0,86414,114261,5264,Facebook,Organic
Video,1279598,1285903,2023028,88469,11616,10912,519,185,5,76435,154,48328,83,15358,393851,0,267246,0,113495,0,1247780,0,85389,31818,3080,Facebook,Organic
Video,1572490,1565071,2460527,141731,16889,15104,1406,379,27,118993,340,92423,142,8170,558253,0,295010,0,295145,0,1467651,0,135400,104839,6331,Facebook,Organic
Video,1422235,1428835,2223781,75850,14689,13834,407,448,170,56591,301,36239,107,29139,310166,0,131725,0,36166,0,1342659,0,65983,79576,9867,Facebook,Organic
Video,4338477,4356711,7317048,211639,17245,15715,873,657,147,210902,384,47569,218,86449,1278153,0,721383,0,81513,0,4166880,0,202182,171597,9457,Facebook,Organic
Video,1496071,1496072,2349530,107219,10799,9389,1130,280,14,88571,258,68487,152,8895,433953,0,219831,0,221400,0,1405302,0,98529,90769,8690,Facebook,Organic
Video,2397535,2421605,3887867,229473,24032,18631,4694,707,4,194455,613,135862,202,9834,753678,0,515349,0,518542,0,2159465,0,210064,238070,19409,Facebook,Organic
Video,611490,608497,957615,12806,1560,1467,67,26,NA,12120,67,4865,56,1494270,107122,0,25770,0,525,0,599583,0,12318,11907,488,Facebook,Organic
Video,1855708,1846853,2908283,157423,17096,14243,2430,423,7,135933,484,100850,167,8597,569e3,0,344262,0,345058,0,1730578,0,147799,125130,9624,Facebook,Organic
Photo,1545820,1543013,2241021,80041,6192,4527,1521,144,14,32465,79850,NA,145,0,0,0,0,0,0,0,1441454,0,75478,104366,4563,Facebook,Organic
Video,1431334,1434921,2265384,124804,13520,11850,1320,350,4,101142,341,82866,129,8575,481230,0,292238,0,293148,0,1376580,0,118658,54754,6146,Facebook,Organic
Video,1452211,1453491,2276190,124400,9546,8983,462,101,16,102690,229,77287,93,15358,528416,0,332044,0,163944,0,1408485,0,120634,43726,3766,Facebook,Organic
Link,2745546,2754488,4498546,123673,12662,9631,2814,217,81287,61195,4,1,187,0,131,0,51,0,50,0,2621507,0,120611,124039,3062,Facebook,Organic
Video,2065012,2085348,3336202,200592,23113,18868,3618,627,30,166305,601,122887,182,10345,790962,0,207336,0,205672,0,1911933,0,184478,153079,16114,Facebook,Organic
Link,2399441,2424971,3950306,114323,8841,6342,2393,106,86276,61188,18,NA,190,0,55,0,22,0,19,0,2326870,0,110643,72571,3680,Facebook,Organic
